image_size_mb,strategy,policy,optimal_sats,optimal_data_mb,mr_1_to_50,mr_50_to_100,mr_100_to_200,data_1,data_50,data_100,data_200
0.027,close-spaced,sticky,50,422.7021730000001,5.162680775510204,-2.1419999999352513e-05,-1.2400000008483403e-06,169.73081500000004,422.7021730000001,422.7011020000001,422.700978
0.027,close-spaced,fifo,200,14586.868221,169.3563911020408,113.15788269999997,4.607801070000023,169.73081500000006,8468.193979,14126.088113999998,14586.868221
0.027,close-spaced,roundrobin,200,14586.868221,169.3563911020408,113.15788269999997,4.607801070000023,169.73081500000004,8468.193979,14126.088113999998,14586.868221
0.027,close-spaced,random,200,15244.633547,163.34715312244896,95.38196980000002,23.01793738999999,169.73081500000006,8173.741317999999,12942.839808,15244.633547
0.027,frame-spaced,sticky,200,11070.053456,57.22949055102041,56.691839940000015,52.61485606999999,169.73081500000004,2973.975852,5808.567849000001,11070.053456
0.027,frame-spaced,fifo,200,23091.123147,169.1628538163265,166.09257648000002,63.277836709999974,169.73081500000006,8458.710652,16763.339476,23091.123147
0.027,frame-spaced,roundrobin,200,23040.511212,169.1628538163265,166.09257647999996,62.77171736000004,169.73081500000004,8458.710652,16763.339475999997,23040.511212
0.027,frame-spaced,random,200,22632.603838000003,168.7278446530612,127.79820106,78.05298582000003,169.73081500000006,8437.395203,14827.305256,22632.603838000003
0.027,orbit-spaced,sticky,200,35359.48661800001,182.89679785714284,176.012176,174.2720390800001,169.73081500000004,9131.67391,17932.28271,35359.48661800001
0.027,orbit-spaced,fifo,200,37538.211197,188.02397228571428,188.16552605999996,187.47029436999998,169.73081500000006,9382.905457,18791.18176,37538.211197
0.027,orbit-spaced,roundrobin,200,36865.981432,185.0424708163265,184.1942678,184.19456157000002,169.73081500000004,9236.811885,18446.525275,36865.981432
0.027,orbit-spaced,random,200,37469.831235,188.03057191836731,188.07159248000005,186.83022771999995,169.73081500000006,9383.228839,18786.808463,37469.831235
0.279,close-spaced,sticky,50,3595.7346850000004,38.74338746938776,-3.247999999985041e-05,-2.4799999982860754e-06,1697.308699,3595.7346850000004,3595.7330610000004,3595.7328130000005
0.279,close-spaced,fifo,200,21760.949557,373.79681469387754,32.965717799999986,0.9931104799999957,1697.3086990000004,20013.352619,21661.638509,21760.949557
0.279,close-spaced,roundrobin,200,21760.949557,373.79681469387754,32.965717799999986,0.9931104799999957,1697.308699,20013.352619,21661.638509,21760.949557
0.279,close-spaced,random,200,21569.702607,371.95053567346935,22.14557670000002,5.395388249999996,1697.3086990000004,19922.884947,21030.163782,21569.702607
0.279,frame-spaced,sticky,200,13378.681249,69.64845124489796,56.226527300000015,54.57272073999999,1697.308699,5110.08281,7921.409175000001,13378.681249
0.279,frame-spaced,fifo,200,32834.074024,425.3685621020408,85.74824933999997,60.06293315000003,1697.3086990000004,22540.368242,26827.780709,32834.074024
0.279,frame-spaced,roundrobin,200,32726.242445,425.3685621020408,85.74824933999997,58.98461736000001,1697.308699,22540.368242,26827.780709,32726.242445
0.279,frame-spaced,random,200,32835.321901,420.8519812857143,82.01533421999993,64.15499408000004,1697.3086990000004,22319.055782000003,26419.822493,32835.321901
0.279,orbit-spaced,sticky,100,174903.607319,1826.309416489796,1674.34274424,-77.88995269000006,1697.308699,91186.470107,174903.607319,167114.61205
0.279,orbit-spaced,fifo,200,248944.146883,1880.3481548367347,1874.1239357,614.0358181200002,1697.3086990000004,93834.368286,187540.565071,248944.146883
0.279,orbit-spaced,roundrobin,200,244615.399856,1850.424851755102,1841.1489830199998,601.8982427000001,1697.308699,92368.126435,184425.575586,244615.399856
0.279,orbit-spaced,random,200,274788.40023100004,1880.3002285510204,1869.4924721599998,874.8175672500005,1697.3086990000004,93832.019898,187306.643506,274788.40023100004
2.799,close-spaced,sticky,50,18188.285708000003,24.79991753061233,-0.0001074200000584824,-1.6230000001087318e-05,16973.089749,18188.285708000003,18188.280337,18188.278714
2.799,close-spaced,fifo,50,23570.326890000004,134.6374926734695,-0.00321698000007018,-0.12452109000001656,16973.089749,23570.326890000004,23570.166041,23557.713932
