image_size_mb,strategy,policy,num_sats,total_in_view,connected_when_in_view,missed_when_in_view,connection_efficiency,missed_opportunity_rate
0.279,close-orbit-spaced,fifo,50,28229,2460,25769,8.714442594495022,91.28555740550497
0.279,close-orbit-spaced,roundrobin,50,28229,2460,25769,8.714442594495022,91.28555740550497
0.279,close-orbit-spaced,random,50,28219,2460,25759,8.717530741698855,91.28246925830115
0.279,close-orbit-spaced,sticky,100,55067,2473,52594,4.490892912270507,95.50910708772949
0.279,close-orbit-spaced,fifo,100,55098,2473,52625,4.488366183890522,95.51163381610948
0.279,close-orbit-spaced,roundrobin,100,55101,2473,52628,4.4881218126712765,95.51187818732872
0.279,close-orbit-spaced,random,100,55087,2473,52614,4.489262439414018,95.51073756058598
0.279,close-orbit-spaced,sticky,200,108771,2479,106292,2.279100127791415,97.72089987220859
0.279,close-orbit-spaced,fifo,200,108797,2479,106318,2.2785554748752266,97.72144452512478
0.279,close-orbit-spaced,roundrobin,200,108797,2479,106318,2.2785554748752266,97.72144452512478
0.279,close-orbit-spaced,random,200,108794,2479,106315,2.2786183061565897,97.72138169384341
0.279,close-spaced,sticky,1,1673,1673,0,100.0,0.0
0.279,close-spaced,fifo,1,1673,643,1030,38.43395098625224,61.56604901374776
0.279,close-spaced,roundrobin,1,1673,1673,0,100.0,0.0
0.279,close-spaced,random,1,1673,643,1030,38.43395098625224,61.56604901374776
0.279,close-spaced,sticky,50,29142,1677,27465,5.7545810170887375,94.24541898291126
0.279,close-spaced,fifo,50,29303,1677,27626,5.722963519093608,94.27703648090639
0.279,close-spaced,roundrobin,50,29303,1677,27626,5.722963519093608,94.27703648090639
0.279,close-spaced,random,50,29283,1677,27606,5.726872246696035,94.27312775330397
0.279,close-spaced,sticky,100,57172,1677,55495,2.933254040439376,97.06674595956062
0.279,close-spaced,fifo,100,57290,1677,55613,2.9272124279979055,97.0727875720021
0.279,close-spaced,roundrobin,100,57290,1677,55613,2.9272124279979055,97.0727875720021
0.279,close-spaced,random,100,57296,1677,55619,2.92690589220888,97.07309410779112
0.279,close-spaced,sticky,200,113228,1677,111551,1.4810824177765218,98.51891758222348
0.279,close-spaced,fifo,200,113362,1677,111685,1.4793316984527443,98.52066830154726
0.279,close-spaced,roundrobin,200,113362,1677,111685,1.4793316984527443,98.52066830154726
0.279,close-spaced,random,200,113348,1677,111671,1.479514415781487,98.5204855842185
0.279,frame-spaced,sticky,1,1673,1673,0,100.0,0.0
0.279,frame-spaced,fifo,1,1673,643,1030,38.43395098625224,61.56604901374776
0.279,frame-spaced,roundrobin,1,1673,1673,0,100.0,0.0
0.279,frame-spaced,random,1,1673,643,1030,38.43395098625224,61.56604901374776
0.279,frame-spaced,sticky,50,29303,1955,27348,6.671671842473467,93.32832815752653
0.279,frame-spaced,fifo,50,29484,1954,27530,6.62732329398996,93.37267670601004
0.279,frame-spaced,roundrobin,50,29484,1955,27529,6.6307149640482965,93.3692850359517
0.279,frame-spaced,random,50,29474,1953,27521,6.6261790052249445,93.37382099477506
0.279,frame-spaced,sticky,100,57502,2243,55259,3.9007338875169557,96.09926611248304
0.279,frame-spaced,fifo,100,57708,2241,55467,3.8833437305053025,96.1166562694947
0.279,frame-spaced,roundrobin,100,57708,2243,55465,3.886809454495044,96.11319054550495
