image_size_mb,strategy,policy,num_sats,total_mb
0.027,orbit-spaced,roundrobin,100,18446.525275
0.027,orbit-spaced,random,100,18786.808463
0.027,orbit-spaced,sticky,200,35359.48661800001
0.027,orbit-spaced,fifo,200,37538.211197
0.027,orbit-spaced,roundrobin,200,36865.981432
0.027,orbit-spaced,random,200,37469.831235
0.279,close-orbit-spaced,sticky,1,1697.308699
0.279,close-orbit-spaced,fifo,1,1697.3086990000004
0.279,close-orbit-spaced,roundrobin,1,1697.308699
0.279,close-orbit-spaced,random,1,1697.3086990000004
0.279,close-orbit-spaced,sticky,50,8962.883784
0.279,close-orbit-spaced,fifo,50,33551.608162000004
0.279,close-orbit-spaced,roundrobin,50,33379.090661
0.279,close-orbit-spaced,random,50,34255.736491999996
0.279,close-orbit-spaced,sticky,100,9143.743210999999
0.279,close-orbit-spaced,fifo,100,33106.825793
0.279,close-orbit-spaced,roundrobin,100,33028.928263
0.279,close-orbit-spaced,random,100,33018.749216
0.279,close-orbit-spaced,sticky,200,9241.502398
0.279,close-orbit-spaced,fifo,200,33101.202243
0.279,close-orbit-spaced,roundrobin,200,33101.202243
0.279,close-orbit-spaced,random,200,34518.968284
0.279,close-spaced,sticky,1,1697.308699
0.279,close-spaced,fifo,1,1697.3086990000004
0.279,close-spaced,roundrobin,1,1697.308699
0.279,close-spaced,random,1,1697.3086990000004
0.279,close-spaced,sticky,50,3595.7346850000004
0.279,close-spaced,fifo,50,20013.352618999998
0.279,close-spaced,roundrobin,50,20013.352618999998
0.279,close-spaced,random,50,19922.884947
0.279,close-spaced,sticky,100,3595.7330610000004
0.279,close-spaced,fifo,100,21661.638509
0.279,close-spaced,roundrobin,100,21661.638509
0.279,close-spaced,random,100,21030.163782
0.279,close-spaced,sticky,200,3595.7328130000005
0.279,close-spaced,fifo,200,21760.949557
0.279,close-spaced,roundrobin,200,21760.949557
0.279,close-spaced,random,200,21569.702607
0.279,frame-spaced,sticky,1,1697.308699
0.279,frame-spaced,fifo,1,1697.3086990000004
0.279,frame-spaced,roundrobin,1,1697.308699
0.279,frame-spaced,random,1,1697.3086990000004
0.279,frame-spaced,sticky,50,5110.08281
0.279,frame-spaced,fifo,50,22540.368241999997
0.279,frame-spaced,roundrobin,50,22540.368242
0.279,frame-spaced,random,50,22319.055782000003
0.279,frame-spaced,sticky,100,7921.409175000001
0.279,frame-spaced,fifo,100,26827.780709
0.279,frame-spaced,roundrobin,100,26827.780709
0.279,frame-spaced,random,100,26419.822493
0.279,frame-spaced,sticky,200,13378.681249
0.279,frame-spaced,fifo,200,32834.074024
0.279,frame-spaced,roundrobin,200,32726.242445
0.279,frame-spaced,random,200,32835.321901
0.279,orbit-spaced,sticky,1,1697.308699
0.279,orbit-spaced,fifo,1,1697.3086990000004
0.279,orbit-spaced,roundrobin,1,1697.308699
0.279,orbit-spaced,random,1,1697.3086990000004
0.279,orbit-spaced,sticky,50,91186.470107
0.279,orbit-spaced,fifo,50,93834.368286
0.279,orbit-spaced,roundrobin,50,92368.126435
0.279,orbit-spaced,random,50,93832.019898
0.279,orbit-spaced,sticky,100,174903.607319
0.279,orbit-spaced,fifo,100,187540.56507100002
0.279,orbit-spaced,roundrobin,100,184425.575586
0.279,orbit-spaced,random,100,187306.643506
0.279,orbit-spaced,sticky,200,167114.61205
0.279,orbit-spaced,fifo,200,248944.146883
0.279,orbit-spaced,roundrobin,200,244615.39985599997
0.279,orbit-spaced,random,200,274788.40023100004
2.799,close-orbit-spaced,sticky,1,16973.089749
2.799,close-orbit-spaced,fifo,1,16973.089749
2.799,close-orbit-spaced,roundrobin,1,16973.089749
2.799,close-orbit-spaced,random,1,16973.089749
2.799,close-orbit-spaced,sticky,50,33981.792116
2.799,close-orbit-spaced,fifo,50,35102.086117
2.799,close-orbit-spaced,roundrobin,50,35102.086117
2.799,close-orbit-spaced,random,50,34147.62593
2.799,close-orbit-spaced,sticky,100,34183.80691
2.799,close-orbit-spaced,fifo,100,35321.121508000004
2.799,close-orbit-spaced,roundrobin,100,35321.121508000004
2.799,close-orbit-spaced,random,100,34481.700627
2.799,close-orbit-spaced,sticky,200,34266.599897
2.799,close-orbit-spaced,fifo,200,35417.200335
2.799,close-orbit-spaced,roundrobin,200,35417.200335
2.799,close-orbit-spaced,random,200,34413.208248
2.799,close-spaced,sticky,1,16973.089749
2.799,close-spaced,fifo,1,16973.089749
2.799,close-spaced,roundrobin,1,16973.089749
2.799,close-spaced,random,1,16973.089749
2.799,close-spaced,sticky,50,18188.285708000003
2.799,close-spaced,fifo,50,23570.326890000004
2.799,close-spaced,roundrobin,50,23570.326890000004
2.799,close-spaced,random,50,23575.338185
2.799,close-spaced,sticky,100,18188.280337
2.799,close-spaced,fifo,100,23570.166041
2.799,close-spaced,roundrobin,100,23570.166041
2.799,close-spaced,random,100,23573.27424
2.799,close-spaced,sticky,200,18188.278714
2.799,close-spaced,fifo,200,23557.713932
2.799,close-spaced,roundrobin,200,23557.713932
2.799,close-spaced,random,200,23589.007133
2.799,frame-spaced,sticky,1,16973.089749
2.799,frame-spaced,fifo,1,16973.089749
2.799,frame-spaced,roundrobin,1,16973.089749
2.799,frame-spaced,random,1,16973.089749
2.799,frame-spaced,sticky,50,20322.445981
2.799,frame-spaced,fifo,50,26878.361392
2.799,frame-spaced,roundrobin,50,26878.361392
2.799,frame-spaced,random,50,27007.922429
2.799,frame-spaced,sticky,100,23948.229017
2.799,frame-spaced,fifo,100,30188.860976000004
2.799,frame-spaced,roundrobin,100,30188.860976000004
2.799,frame-spaced,random,100,30719.475133
2.799,frame-spaced,sticky,200,31227.545713000003
2.799,frame-spaced,fifo,200,35558.063627
2.799,frame-spaced,roundrobin,200,35552.399715
2.799,frame-spaced,random,200,37574.108525999996
2.799,orbit-spaced,sticky,1,16973.089749
2.799,orbit-spaced,fifo,1,16973.089749
2.799,orbit-spaced,roundrobin,1,16973.089749
2.799,orbit-spaced,random,1,16973.089749
2.799,orbit-spaced,sticky,50,290591.96136099997
2.799,orbit-spaced,fifo,50,277698.096053
2.799,orbit-spaced,roundrobin,50,274333.976075
2.799,orbit-spaced,random,50,299433.273621
2.799,orbit-spaced,sticky,100,289911.76165400003
2.799,orbit-spaced,fifo,100,269564.314234
2.799,orbit-spaced,roundrobin,100,266273.33378
2.799,orbit-spaced,random,100,302161.45835
