image_size_mb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
0.027,orbit-spaced,fifo,100,21600,1327,20273,93.85648148148148,21597,20270,93.85562809649488
0.027,orbit-spaced,roundrobin,100,21600,1328,20272,93.85185185185185,21600,20272,93.85185185185185
0.027,orbit-spaced,random,100,21600,1325,20275,93.86574074074075,21597,20272,93.86488864194101
0.027,orbit-spaced,sticky,200,21600,2531,19069,88.2824074074074,21597,19066,88.28077973792657
0.027,orbit-spaced,fifo,200,21600,2646,18954,87.75,21597,18951,87.74829837477427
0.027,orbit-spaced,roundrobin,200,21600,2660,18940,87.68518518518519,21600,18940,87.68518518518519
0.027,orbit-spaced,random,200,21600,2576,19024,88.07407407407408,21597,19021,88.07241746538871
0.279,close-orbit-spaced,sticky,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,close-orbit-spaced,fifo,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,close-orbit-spaced,roundrobin,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,close-orbit-spaced,random,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,close-orbit-spaced,sticky,50,21600,613,20987,97.16203703703704,2460,1847,75.08130081300813
0.279,close-orbit-spaced,fifo,50,21600,2392,19208,88.92592592592592,2460,68,2.7642276422764227
0.279,close-orbit-spaced,roundrobin,50,21600,2384,19216,88.96296296296296,2460,76,3.089430894308943
0.279,close-orbit-spaced,random,50,21600,2404,19196,88.87037037037037,2460,56,2.2764227642276422
0.279,close-orbit-spaced,sticky,100,21600,623,20977,97.11574074074075,2473,1850,74.80792559644158
0.279,close-orbit-spaced,fifo,100,21600,2409,19191,88.84722222222223,2473,64,2.587949858471492
0.279,close-orbit-spaced,roundrobin,100,21600,2404,19196,88.87037037037037,2473,69,2.7901334411645773
0.279,close-orbit-spaced,random,100,21600,2426,19174,88.76851851851852,2473,47,1.900525677315002
0.279,close-orbit-spaced,sticky,200,21600,629,20971,97.08796296296296,2479,1850,74.6268656716418
0.279,close-orbit-spaced,fifo,200,21600,2421,19179,88.79166666666667,2479,58,2.3396530859217424
0.279,close-orbit-spaced,roundrobin,200,21600,2421,19179,88.79166666666667,2479,58,2.3396530859217424
0.279,close-orbit-spaced,random,200,21600,2432,19168,88.74074074074075,2479,47,1.8959257765227915
0.279,close-spaced,sticky,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,close-spaced,fifo,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,close-spaced,roundrobin,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
