image_size_mb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
0.027,frame-spaced,fifo,200,21600,1467,20133,93.20833333333334,2713,1246,45.92701806118688
0.027,frame-spaced,roundrobin,200,21600,1474,20126,93.17592592592592,2717,1243,45.74898785425101
0.027,frame-spaced,random,200,21600,1480,20120,93.14814814814815,2711,1231,45.40759867207672
0.027,orbit-spaced,sticky,1,21600,12,21588,99.94444444444444,1673,1661,99.28272564255828
0.027,orbit-spaced,fifo,1,21600,12,21588,99.94444444444444,568,556,97.88732394366197
0.027,orbit-spaced,roundrobin,1,21600,12,21588,99.94444444444444,1673,1661,99.28272564255828
0.027,orbit-spaced,random,1,21600,12,21588,99.94444444444444,568,556,97.88732394366197
0.027,orbit-spaced,sticky,25,21600,247,21353,98.85648148148148,21597,21350,98.85632263740334
0.027,orbit-spaced,fifo,25,21600,330,21270,98.47222222222223,13679,13349,97.58754294904598
0.027,orbit-spaced,roundrobin,25,21600,330,21270,98.47222222222223,21579,21249,98.47073543723064
0.027,orbit-spaced,random,25,21600,330,21270,98.47222222222223,13662,13332,97.58454106280193
0.027,orbit-spaced,sticky,50,21600,502,21098,97.67592592592592,21597,21095,97.67560309302218
0.027,orbit-spaced,fifo,50,21600,662,20938,96.93518518518518,21597,20935,96.93475945733204
0.027,orbit-spaced,roundrobin,50,21600,662,20938,96.93518518518518,21582,20920,96.93262904272079
0.027,orbit-spaced,random,50,21600,662,20938,96.93518518518518,21597,20935,96.93475945733204
0.027,orbit-spaced,sticky,100,21600,1273,20327,94.10648148148148,21597,20324,94.1056628235403
0.027,orbit-spaced,fifo,100,21600,1327,20273,93.85648148148148,21597,20270,93.85562809649488
0.027,orbit-spaced,roundrobin,100,21600,1328,20272,93.85185185185185,21600,20272,93.85185185185185
0.027,orbit-spaced,random,100,21600,1325,20275,93.86574074074075,21597,20272,93.86488864194101
0.027,orbit-spaced,sticky,200,21600,2531,19069,88.2824074074074,21597,19066,88.28077973792657
0.027,orbit-spaced,fifo,200,21600,2646,18954,87.75,21597,18951,87.74829837477427
0.027,orbit-spaced,roundrobin,200,21600,2660,18940,87.68518518518519,21600,18940,87.68518518518519
0.027,orbit-spaced,random,200,21600,2576,19024,88.07407407407408,21597,19021,88.07241746538871
0.279,close-orbit-spaced,sticky,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,close-orbit-spaced,fifo,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,close-orbit-spaced,roundrobin,1,21600,124,21476,99.42592592592592,1673,1549,92.58816497310221
0.279,close-orbit-spaced,random,1,21600,124,21476,99.42592592592592,643,519,80.7153965785381
0.279,close-orbit-spaced,sticky,25,21600,2722,18878,87.39814814814815,21597,18875,87.39639764782146
0.279,close-orbit-spaced,fifo,25,21600,3472,18128,83.92592592592592,14724,11252,76.41945123607715
0.279,close-orbit-spaced,roundrobin,25,21600,3552,18048,83.55555555555556,21579,18027,83.53955234255525
0.279,close-orbit-spaced,random,25,21600,3471,18129,83.93055555555556,14707,11236,76.39899367648059
0.279,close-orbit-spaced,sticky,50,21600,4806,16794,77.75,21597,16791,77.74690929295735
0.279,close-orbit-spaced,fifo,50,21600,6752,14848,68.74074074074073,20739,13987,67.4429818216886
0.279,close-orbit-spaced,roundrobin,50,21600,7022,14578,67.49074074074073,21581,14559,67.4621194569297
0.279,close-orbit-spaced,random,50,21600,6745,14855,68.77314814814814,20742,13997,67.4814386269405
0.279,close-orbit-spaced,sticky,100,21600,6449,15151,70.14351851851852,21597,15148,70.1393712089642
0.279,close-orbit-spaced,fifo,100,21600,12963,8637,39.986111111111114,21597,8634,39.977774690929294
0.279,close-orbit-spaced,roundrobin,100,21600,12954,8646,40.02777777777778,21600,8646,40.02777777777778
0.279,close-orbit-spaced,random,100,21600,12834,8766,40.583333333333336,21597,8763,40.57507987220447
0.279,close-orbit-spaced,sticky,200,21600,6358,15242,70.56481481481481,21597,15239,70.56072602676298
