image_size_mb,image_size_kb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
0.027,27,orbit-spaced,fifo,22,21600,293,21307,98.64351851851852,12043,11750,97.56705139915304
0.027,27,orbit-spaced,roundrobin,22,21600,293,21307,98.64351851851852,21520,21227,98.63847583643123
0.027,27,orbit-spaced,random,22,21600,293,21307,98.64351851851852,12030,11737,97.56442227763924
2.799,2799,orbit-spaced,sticky,10,21600,12812,8788,40.68518518518518,16130,3318,20.57036577805332
2.799,2799,orbit-spaced,fifo,10,21600,12812,8788,40.68518518518518,13942,1130,8.105006455314875
2.799,2799,orbit-spaced,roundrobin,10,21600,12812,8788,40.68518518518518,16133,3321,20.585136056530093
2.799,2799,orbit-spaced,random,10,21600,12812,8788,40.68518518518518,13942,1130,8.105006455314875
280.0,280000,orbit-spaced,sticky,22,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,fifo,22,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,roundrobin,22,21600,21517,83,0.3842592592592593,21520,3,0.013940520446096654
280.0,280000,orbit-spaced,random,22,21600,21597,3,0.013888888888888888,21597,0,0.0
28.0,28000,orbit-spaced,sticky,17,21600,21452,148,0.6851851851851852,21597,145,0.6713895448441913
28.0,28000,orbit-spaced,fifo,17,21600,21452,148,0.6851851851851852,21544,92,0.42703304864463426
28.0,28000,orbit-spaced,roundrobin,17,21600,21452,148,0.6851851851851852,21600,148,0.6851851851851852
28.0,28000,orbit-spaced,random,17,21600,21452,148,0.6851851851851852,21544,92,0.42703304864463426
0.279,279,orbit-spaced,sticky,19,21600,2207,19393,89.7824074074074,21597,19390,89.7809881001991
0.279,279,orbit-spaced,fifo,19,21600,2637,18963,87.79166666666667,11180,8543,76.41323792486583
0.279,279,orbit-spaced,roundrobin,19,21600,2693,18907,87.5324074074074,21438,18745,87.43819386136767
0.279,279,orbit-spaced,random,19,21600,2637,18963,87.79166666666667,11170,8533,76.3921217547001
28.0,28000,orbit-spaced,sticky,10,21600,16088,5512,25.51851851851852,16130,42,0.26038437693738375
28.0,28000,orbit-spaced,fifo,10,21600,16088,5512,25.51851851851852,16130,42,0.26038437693738375
28.0,28000,orbit-spaced,roundrobin,10,21600,16088,5512,25.51851851851852,16133,45,0.27893138287981156
28.0,28000,orbit-spaced,random,10,21600,16088,5512,25.51851851851852,16130,42,0.26038437693738375
0.027,27,orbit-spaced,sticky,15,21600,177,21423,99.18055555555556,21597,21420,99.18044172801778
0.027,27,orbit-spaced,fifo,15,21600,199,21401,99.07870370370371,8201,8002,97.57346665040849
0.027,27,orbit-spaced,roundrobin,15,21600,199,21401,99.07870370370371,21600,21401,99.07870370370371
0.027,27,orbit-spaced,random,15,21600,199,21401,99.07870370370371,8195,7996,97.57169005491153
28.0,28000,orbit-spaced,sticky,22,21600,21533,67,0.3101851851851852,21597,64,0.29633745427605684
28.0,28000,orbit-spaced,fifo,22,21600,21533,67,0.3101851851851852,21597,64,0.29633745427605684
28.0,28000,orbit-spaced,roundrobin,22,21600,21459,141,0.6527777777777778,21520,61,0.28345724907063197
28.0,28000,orbit-spaced,random,22,21600,21533,67,0.3101851851851852,21597,64,0.29633745427605684
280.0,280000,orbit-spaced,sticky,100,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,fifo,100,21600,21597,3,0.013888888888888888,21597,0,0.0
280.0,280000,orbit-spaced,roundrobin,100,21600,21597,3,0.013888888888888888,21600,3,0.013888888888888888
280.0,280000,orbit-spaced,random,100,21600,21597,3,0.013888888888888888,21597,0,0.0
0.279,279,orbit-spaced,sticky,21,21600,2332,19268,89.20370370370371,21597,19265,89.20220400981617
0.279,279,orbit-spaced,fifo,21,21600,2928,18672,86.44444444444444,12383,9455,76.35467980295566
0.279,279,orbit-spaced,roundrobin,21,21600,2991,18609,86.15277777777777,21495,18504,86.0851360781577
0.279,279,orbit-spaced,random,21,21600,2928,18672,86.44444444444444,12367,9439,76.32408829950676
0.279,279,orbit-spaced,sticky,15,21600,1967,19633,90.89351851851852,21597,19630,90.89225355373432
0.279,279,orbit-spaced,fifo,15,21600,2091,19509,90.31944444444444,8846,6755,76.36219760343657
0.279,279,orbit-spaced,roundrobin,15,21600,2091,19509,90.31944444444444,21600,19509,90.31944444444444
0.279,279,orbit-spaced,random,15,21600,2091,19509,90.31944444444444,8843,6752,76.35417844622866
0.027,27,orbit-spaced,sticky,21,21600,207,21393,99.04166666666666,21597,21390,99.04153354632588
0.027,27,orbit-spaced,fifo,21,21600,279,21321,98.70833333333333,11500,11221,97.57391304347826
0.027,27,orbit-spaced,roundrobin,21,21600,279,21321,98.70833333333333,21495,21216,98.702023726448
0.027,27,orbit-spaced,random,21,21600,279,21321,98.70833333333333,11489,11210,97.57159021672905
0.027,27,orbit-spaced,sticky,18,21600,180,21420,99.16666666666667,21597,21417,99.1665509098486
0.027,27,orbit-spaced,fifo,18,21600,240,21360,98.88888888888889,9830,9590,97.558494404883
0.027,27,orbit-spaced,roundrobin,18,21600,240,21360,98.88888888888889,21600,21360,98.88888888888889
0.027,27,orbit-spaced,random,18,21600,240,21360,98.88888888888889,9819,9579,97.55575924228536
0.279,279,orbit-spaced,sticky,22,21600,2422,19178,88.78703703703704,21597,19175,88.78547946474046
0.279,279,orbit-spaced,fifo,22,21600,3077,18523,85.75462962962963,12974,9897,76.28333590257438
0.279,279,orbit-spaced,roundrobin,22,21600,3143,18457,85.44907407407408,21520,18377,85.39498141263941
0.279,279,orbit-spaced,random,22,21600,3077,18523,85.75462962962963,12958,9881,76.2540515511653
0.027,27,orbit-spaced,sticky,17,21600,170,21430,99.21296296296296,21597,21427,99.21285363707922
0.027,27,orbit-spaced,fifo,17,21600,227,21373,98.94907407407408,9307,9080,97.5609756097561
0.027,27,orbit-spaced,roundrobin,17,21600,227,21373,98.94907407407408,21600,21373,98.94907407407408
0.027,27,orbit-spaced,random,17,21600,227,21373,98.94907407407408,9299,9072,97.55887729863426
280.0,280000,orbit-spaced,sticky,10,21600,16130,5470,25.324074074074076,16130,0,0.0
280.0,280000,orbit-spaced,fifo,10,21600,16130,5470,25.324074074074076,16130,0,0.0
280.0,280000,orbit-spaced,roundrobin,10,21600,16130,5470,25.324074074074076,16133,3,0.018595425525320772
280.0,280000,orbit-spaced,random,10,21600,16130,5470,25.324074074074076,16130,0,0.0
0.279,279,orbit-spaced,sticky,10,21600,1403,20197,93.50462962962963,16130,14727,91.30192188468692
0.279,279,orbit-spaced,fifo,10,21600,1403,20197,93.50462962962963,6334,4931,77.84970003157562
0.279,279,orbit-spaced,roundrobin,10,21600,1403,20197,93.50462962962963,16133,14730,91.30353932932499
0.279,279,orbit-spaced,random,10,21600,1403,20197,93.50462962962963,6334,4931,77.84970003157562
0.027,27,orbit-spaced,sticky,25,21600,245,21355,98.86574074074073,21597,21352,98.86558318284948
0.027,27,orbit-spaced,fifo,25,21600,330,21270,98.47222222222223,13681,13351,97.58789562166508
0.027,27,orbit-spaced,roundrobin,25,21600,330,21270,98.47222222222223,21581,21251,98.47087716046522
0.027,27,orbit-spaced,random,25,21600,330,21270,98.47222222222223,13664,13334,97.58489461358315
280.0,280000,orbit-spaced,sticky,15,21600,21597,3,0.013888888888888888,21597,0,0.0
