image_size_mb,policy,num_sats,orbital_spacing_deg,data_downloaded_gb
0.027,sticky,1,360.0,0.1657527490234375
0.027,fifo,1,360.0,0.1657527490234375
0.027,roundrobin,1,360.0,0.1657527490234375
0.027,random,1,360.0,0.1657527490234375
0.027,sticky,50,7.2,8.917650302734376
0.027,fifo,50,7.2,9.162993610351563
0.027,roundrobin,50,7.2,9.020324106445312
0.027,random,50,7.2,9.163309413085937
0.027,sticky,100,3.6,17.511994833984375
0.027,fifo,100,3.6,18.3507634375
0.027,roundrobin,100,3.6,18.014184838867187
0.027,random,100,3.6,18.34649263964844
0.027,sticky,200,1.8,34.53074865039062
0.027,fifo,200,1.8,36.65840937207031
0.027,roundrobin,200,1.8,36.0019349921875
0.027,random,200,1.8,36.591632065429685
0.279,sticky,1,360.0,1.6575280263671877
0.279,fifo,1,360.0,1.6575280263671877
0.279,roundrobin,1,360.0,1.6575280263671877
0.279,random,1,360.0,1.6575280263671877
0.279,sticky,50,7.2,89.04928721386719
0.279,fifo,50,7.2,91.63512527929687
0.279,roundrobin,50,7.2,90.20324847167969
0.279,random,50,7.2,91.63283193164062
0.279,sticky,100,3.6,170.80430402246094
0.279,fifo,100,3.6,183.14508307714846
0.279,roundrobin,100,3.6,180.10310115820312
0.279,random,100,3.6,182.91664404882812
0.279,sticky,200,1.8,163.19786333007812
0.279,fifo,200,1.8,243.1095184404297
0.279,roundrobin,200,1.8,238.88222642187498
0.279,random,200,1.8,268.3480471005859
2.799,sticky,1,360.0,16.57528295800781
2.799,fifo,1,360.0,16.57528295800781
2.799,roundrobin,1,360.0,16.57528295800781
2.799,random,1,360.0,16.57528295800781
2.799,sticky,50,7.2,283.78121226660153
2.799,fifo,50,7.2,271.1895469267578
2.799,roundrobin,50,7.2,267.9042735107422
2.799,random,50,7.2,292.4153062705078
2.799,sticky,100,3.6,283.1169547402344
2.799,fifo,100,3.6,263.2464006191407
2.799,roundrobin,100,3.6,260.03255251953124
2.799,random,100,3.6,295.07954916992185
2.799,sticky,200,1.8,282.05546737109375
2.799,fifo,200,1.8,257.8111235126953
2.799,roundrobin,200,1.8,255.8604710546875
2.799,random,200,1.8,299.2564279970703
28.0,sticky,1,360.0,22.942237357421874
28.0,fifo,1,360.0,22.942237357421874
28.0,roundrobin,1,360.0,22.942237357421874
28.0,random,1,360.0,22.942237357421874
28.0,sticky,50,7.2,282.191070421875
28.0,fifo,50,7.2,274.7991940039062
28.0,roundrobin,50,7.2,275.2738180673828
28.0,random,50,7.2,298.612447397461
28.0,sticky,100,3.6,272.3348817099609
28.0,fifo,100,3.6,262.14594205273437
28.0,roundrobin,100,3.6,263.17990940625003
28.0,random,100,3.6,298.45419788476556
28.0,sticky,200,1.8,268.5047103398437
28.0,fifo,200,1.8,256.49043562109375
28.0,roundrobin,200,1.8,257.04226934472655
28.0,random,200,1.8,298.8975790996094
